0.01 	0.005 	15.0 	0.904309 	0.921615 	0.904117793906 	0.921500418866

0.007 	0.005 	15.0 	0.918561 	0.927384 	0.919217431584 	0.927311969613

0.001 	0.005 	15.0 	0.941296 	0.941296 	0.940434274885 	0.940434274885

0.0007 	0.005 	15.0 	0.901595 	0.928402 	0.901298300113 	0.928377281525

0.0001 	0.005 	15.0 	0.894808 	0.907703 	0.894317512038 	0.907884197572
----------------------------------------------------------------------------------------

0.004 	0.005 	15.0 	0.882253 	0.925348 	0.883194776691 	0.925243082733

0.003 	0.005 	15.0 	0.899559 	0.924669 	0.89880085034 	0.92459851135

0.002 	0.005 	15.0 	0.86868 	0.936885 	0.86734285139 	0.9365882358

0.0009 	0.005 	15.0 	0.882592 	0.925348 	0.881118335945 	0.924886938468

0.0008 	0.005 	15.0 	0.930437	0.930437	0.930066739796	0.930066739796
